Full_Name,Hire_Date,Termination_Date,Service_Days,Service_Years
"Deny Budcock",2003-06-04,2024-07-04,7701,21.0986
"Spense Toal",2001-10-24,2022-11-23,7700,21.0959
"Tod Crouse",2002-11-02,2023-11-23,7691,21.0712
"Olimpia Dilloway",2001-12-06,2022-12-05,7669,21.0110
"Valma Ludye",2002-06-07,2023-06-03,7666,21.0027
"Gus Vassel",2001-07-20,2022-06-18,7638,20.9260
"Winna Ace",2001-01-28,2021-12-01,7612,20.8548
"Randi Ditty",2001-02-19,2021-12-20,7609,20.8466
"Case Soro",2003-01-12,2023-10-18,7584,20.7781
"Audrie Storrar",2003-02-28,2023-11-07,7557,20.7041
"Marylynne Joselevitch",2003-05-03,2023-12-18,7534,20.6411
"Bondy Minkin",2002-06-06,2023-01-01,7514,20.5863
"Emlynn Segges",2003-09-10,2024-03-14,7491,20.5233
"Linea Manueli",2001-08-18,2022-02-04,7475,20.4795
"Sydney Goodding",2002-10-02,2023-03-04,7458,20.4329
"Joe Ablett",2003-04-22,2023-09-14,7450,20.4110
"Conny Kabos",2004-02-01,2024-05-23,7417,20.3205
"Beryle Rubinowitz",2001-09-22,2021-12-23,7397,20.2658
"Kellsie Cino",2001-11-11,2022-02-06,7392,20.2521
"Ola McAllaster",2001-10-17,2022-01-01,7381,20.2219
"Selle Johann",2002-12-11,2023-02-25,7381,20.2219
"Marcel Maruszewski",2001-11-19,2022-01-29,7376,20.2082
"Sande Potten",2002-08-14,2022-09-28,7350,20.1370
"Giulia Braam",2003-10-17,2023-11-30,7349,20.1342
"Theda Carrier",2003-10-06,2023-11-18,7348,20.1315
"Catherine Jarmyn",2001-05-10,2021-05-25,7320,20.0548
"Dewie Shitliff",2000-12-25,2021-01-09,7320,20.0548
"Erv Berkery",2001-05-02,2021-05-15,7318,20.0493
"Rhodia McDugal",2001-05-28,2021-05-13,7290,19.9726
"Sinclair Dudley",2002-09-15,2022-08-06,7265,19.9041
"Carmine Durak",2002-03-29,2022-01-27,7244,19.8466
"Moe Molen",2004-07-11,2024-05-10,7243,19.8438
"Nikola Brim",2004-02-03,2023-12-02,7242,19.8411
"Agathe Suff",2000-12-03,2020-09-08,7219,19.7781
"Alexandrina Fratson",2000-12-03,2020-08-29,7209,19.7507
"Mellisa Bezzant",2001-01-21,2020-10-13,7205,19.7397
"Blythe Cassell",2002-01-07,2021-09-15,7191,19.7014
"Yovonnda Stroobant",2001-07-15,2021-03-22,7190,19.6986
"Melania Shernock",2001-11-20,2021-07-24,7186,19.6877
"Hobie Jacobowits",2002-10-30,2022-06-30,7183,19.6795
"Garek Sugar",2003-01-08,2022-09-06,7181,19.6740
"Elfrieda Pedroli",2001-12-09,2021-08-07,7181,19.6740
"Davin Goundsy",2002-04-19,2021-12-14,7179,19.6685
"Vaclav Layman",2002-03-25,2021-11-08,7168,19.6384
"Huntley MacConnechie",2003-05-05,2022-11-30,7149,19.5863
"Sashenka Behrendsen",2001-01-06,2020-07-26,7141,19.5644
"Sorcha Agget",2004-03-13,2023-09-28,7138,19.5562
"Nicolle Blennerhassett",2004-06-11,2023-12-23,7134,19.5452
"Nancey Longhorne",2003-04-24,2022-10-25,7124,19.5178
"Catha Spivie",2001-09-09,2021-03-06,7118,19.5014
"Billy Masser",2004-06-11,2023-12-07,7118,19.5014
"Marillin Tidball",2002-12-27,2022-06-22,7117,19.4986
"Claudette de Courcey",2002-09-03,2022-02-18,7108,19.4740
"Dredi Nevett",2002-02-12,2021-07-27,7105,19.4658
"Kissie Flowers",2004-05-07,2023-10-19,7104,19.4630
"Vail Betterton",2001-08-01,2020-11-11,7042,19.2932
"Antoine Stagg",2001-01-06,2020-04-16,7040,19.2877
"Tanner Itzakovitz",2002-09-02,2021-12-01,7030,19.2603
"Brendin Harcus",2004-09-05,2023-11-30,7025,19.2466
"Kaitlin Jeaycock",2005-03-04,2024-05-22,7019,19.2301
"Randi Giraudot",2001-12-13,2021-02-12,7001,19.1808
"Burke Dumphreys",2005-04-17,2024-06-14,6998,19.1726
"Tam Kitchaside",2001-06-06,2020-07-28,6992,19.1562
